hike_name,hike_id,numReports,total_dist,elevation gain,time_from_seattle,Coast,stars,Dogs allowed on leash,Established campsites,Fall foliage,Good for kids,Lakes,Mountain views,Old growth,Ridges/passes,Rivers,Summits,Waterfalls,Wildflowers/Meadows,Wildlife
Grand Park via Lake Eleanor,0,212,8,1100,116.5333333,0,4.25,0,1,0,0,0,1,0,0,0,0,0,0,1
Shellrock Pass,1,2,,,,0,2.33,1,0,0,0,0,0,0,0,0,0,0,0,0
Soda Peaks Lake,2,24,7,2500,227.3333333,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
Shorthorn,3,5,5.6,1400,207.4333333,0,3.67,1,0,0,0,0,1,0,0,0,0,0,0,0
West Fork Teanaway River,4,5,19.2,2800,115.75,0,2.75,1,1,0,1,0,1,0,1,0,0,0,0,1
Fishtrap Lake - North,5,4,4,126,233.5166667,0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,1
Lake George,6,22,9.2,930,121.8833333,0,2.71,0,1,0,1,1,0,1,0,0,0,1,0,0
Martin Creek Connector,7,2,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japanese Gulch,8,19,4,174,36.93333333,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
Oyster Dome,9,398,5,1900,78.73333333,1,3.96,1,0,0,0,0,0,0,0,0,1,0,0,1
Fishtrap Lake - Scroggie Loop,10,2,3,200,236.9,0,2.5,0,0,0,1,0,0,0,0,0,0,0,0,1
Harmony Falls,11,10,2,700,186.8166667,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Mildred Lakes,12,72,9,2300,150.8,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0
The Enchantments,13,308,18,4500,172.2833333,0,4.54,0,1,1,0,1,1,1,0,1,1,1,1,1
Snow Lakes,14,214,14,4300,142.45,0,3.75,0,1,0,0,1,1,0,0,1,0,0,1,1
Muddy Fork Lava Bed,15,0,5,500,220.7,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1
Juniper Ridge,16,37,6,1900,165.45,0,3.75,1,0,0,0,0,1,0,0,0,1,0,0,0
Harry's Ridge,17,81,8,200,164.35,0,3.47,0,0,1,0,1,0,0,0,0,0,0,0,0
Deep Creek,18,15,8,6920,92.2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Robe Canyon,19,119,2.4,350,62.86666667,0,3.43,0,0,0,1,0,0,0,0,0,0,0,0,0
Mercer Slough Nature Park Trails,20,13,,,12.33333333,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1
Table Mountain,21,19,16,3350,199.15,0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0
Lillian Ridge,22,14,4,200,229.2,0,3.8,0,0,0,1,0,0,0,0,0,0,0,0,0
Windy Ridge Trail,23,30,4,200,201.4833333,0,3.14,0,0,0,0,0,1,0,0,0,0,0,0,0
Windy Pass,24,24,7,1300,256.3833333,0,3.3,1,0,0,1,0,1,0,1,0,0,0,0,0
Greider Lakes,25,128,9.2,1370,93.33333333,0,3.1,0,0,0,0,1,0,1,0,0,0,0,0,0
Rock Mountain via Rock Lake,26,89,11,4175,108.65,0,2.75,1,0,0,0,1,0,0,0,0,1,0,0,0
John Wayne Trail - Tekoa Trailhead,27,2,,,291.7166667,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0
Lake Serene - Bridal Veil Falls,28,1015,8.2,2000,70.15,0,4.47,1,0,0,1,1,1,0,0,0,0,1,0,0
Mount Pilchuck,29,800,5.4,2300,91.1,0,4.43,1,0,0,0,0,1,0,0,0,1,0,0,0
Lake Twentytwo - Lake 22,30,989,5.4,1350,71.21666667,0,4.2,1,0,0,1,1,1,1,0,1,0,1,0,1
Island Lake - Rainbow Lake,31,144,10,2000,54.83333333,0,3.57,0,0,0,0,1,0,0,0,0,0,0,0,0
Licorice Fern Trail,32,33,3.8,200,27.13333333,0,3.67,1,0,0,0,0,0,1,0,0,0,0,0,1
Willapa Hills Trail,33,4,,,89.66666667,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
Silver Lake,34,4,9.2,2800,257.8,0,2.88,0,0,0,0,0,0,1,0,0,0,0,0,0
Tatie Peak and Grasshopper Pass,35,39,11,1750,258.7,0,3.08,1,0,0,0,0,1,0,0,0,1,0,0,0
Driveway Butte,36,36,8,3030,203.8833333,0,3.25,0,0,0,0,0,1,0,0,0,1,0,0,1
Slate Peak,37,14,0.7,250,,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Twin Falls,38,326,3.5,500,38.86666667,0,4.2,1,0,0,1,0,0,0,0,1,0,0,0,0
Copper City Ghost Town,39,2,0.5,27,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twin Sisters Lakes,40,63,5,800,189.7833333,0,3.11,0,0,0,1,0,0,0,0,0,0,0,0,0
Old Snowy Mountain - Elk Pass,41,34,17,3100,186,0,3.5,1,1,0,0,0,1,0,0,0,1,1,1,1
Junction Lake,42,2,5,700,275.0666667,0,2.5,0,0,0,0,1,0,1,0,0,0,0,0,0
Nannie Ridge-Sheep Lake,43,40,9,1800,201.5333333,0,3.44,0,1,0,0,1,0,0,0,0,0,0,0,0
Snowgrass - Cispus Basin - Nannie Ridge Loop,44,42,19.6,3000,182.7333333,0,3.6,1,1,0,0,1,1,0,0,1,0,1,1,0
Snowgrass Flat,45,116,8.2,1600,187.3666667,0,4.25,1,0,0,0,0,1,0,0,0,0,0,0,0
Naches Peak Loop,46,281,3.2,600,108.9666667,0,4.36,0,0,0,1,1,1,0,0,0,0,0,0,0
Bird Mountain Loop,47,18,10.25,1875,249.0666667,0,3,1,1,0,0,1,0,0,0,0,1,0,0,0
Stagman Ridge—Horseshoe Meadow,48,7,9,1700,250.45,0,4.17,1,0,0,0,0,1,0,0,0,0,0,0,1
Muddy Meadows/Foggy Flat,49,6,11.6,1710,226.1,0,2.8,1,0,0,0,0,1,0,0,0,0,0,0,0
Council Bluff,50,6,3,1000,205.8,0,2.83,0,0,0,1,0,0,0,0,0,1,0,0,0
Sunrise Peak,51,20,3,1400,184,0,3.57,1,0,0,0,0,1,0,0,0,1,0,0,0
Potato Hill,52,2,3,550,220.6666667,0,2.83,0,0,0,0,0,1,0,0,0,1,0,0,0
High Lakes Ramble,53,1,5.4,200,203.05,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Takhlakh Lake Loop,54,9,3,90,206.05,0,3.6,0,0,0,1,1,0,0,0,0,0,0,0,0
Silver Star Mountain - Ed's Trail,55,35,5,1240,215.2166667,0,3.71,0,0,1,0,0,1,0,1,0,1,0,0,0
Trapper Creek,56,19,9,4607,227.3666667,0,3.5,1,0,0,1,0,0,1,0,1,0,1,0,1
Little Huckleberry Mountain,57,9,5,1800,255.7333333,0,3.5,0,0,0,0,0,0,0,0,0,1,0,0,0
Willard Springs Trail,58,6,,,257.6833333,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1
Pinnacle Saddle,59,83,2.5,1000,142.25,0,4.21,0,0,0,0,0,1,0,0,0,0,0,0,1
Nisqually Vista Loop,60,29,1.1,200,144.15,0,3.4,0,0,0,0,0,1,0,0,0,0,0,0,1
Burroughs Mountain,61,269,9,2600,143.3833333,0,4.24,0,0,1,1,0,1,0,1,0,1,0,0,1
Sourdough Ridge,62,29,2.5,400,143.3833333,0,3.75,0,0,0,0,0,0,0,1,0,0,0,0,1
Mima Falls,63,63,6.5,650,82.76666667,0,3.83,0,1,1,0,0,0,1,0,0,0,1,0,0
Lava Canyon,64,32,5,1600,204.8666667,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0
John Tursi Trail,65,2,2.2,600,87.31666667,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Canyon Lake Community Forest,66,4,7.5,2400,120.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seward Park,67,11,,,17.38333333,0,3.5,0,0,0,1,1,0,0,0,0,0,0,0,1
Mount McCausland,68,53,7,1800,120.3666667,0,4.33,1,0,0,0,0,1,0,0,0,1,0,0,0
Heather Lake,69,624,4.6,1034,73.93333333,0,3.88,1,0,0,1,1,1,1,0,0,0,1,0,0
Bead Lake,70,9,11.4,400,325.7666667,0,2.75,0,1,0,1,1,0,1,0,0,0,0,0,0
Eagle Creek,71,29,12.5,1100,193.5333333,0,4.5,1,1,0,0,0,0,1,0,0,0,1,0,0
Summit Lake,72,254,6.1,1300,102.6,0,4.26,1,0,0,1,1,0,0,0,0,1,0,0,1
Sheep Canyon,73,12,4.5,1200,231.9666667,0,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0
Cougar Lakes,74,20,8,1200,186.1833333,0,2.33,1,0,0,0,1,1,0,0,0,0,0,0,0
Welcome Pass and the High Divide,75,64,8,3400,150.5166667,0,3.11,0,0,0,0,0,1,1,1,0,1,0,0,0
Bandera Mountain,76,561,8,3400,56.15,0,4.23,1,0,1,0,0,1,0,1,0,1,0,0,0
North Fork Sauk Falls,77,34,0.4,200,120.0833333,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0
Granite Mountain,78,864,8.6,3800,47.2,0,4.33,1,0,1,0,0,1,0,0,0,1,0,0,0
Rattlesnake Ledge,79,856,4,1160,39.08333333,0,3.97,1,0,0,1,0,1,0,1,0,1,0,0,0
Guye Peak,80,65,6,2100,52.9,0,4,0,1,0,0,0,1,1,0,0,0,0,0,1
Wallace Falls State Park,81,611,5.6,1300,64.86666667,0,4.05,1,0,0,1,1,0,1,0,1,0,1,0,0
Little Si,82,432,4.7,1300,35.31666667,0,3.57,1,0,0,0,0,0,0,0,0,0,0,0,0
Mailbox Peak,83,220,9.4,4000,42.81666667,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0
Bridal Veil Falls,84,157,4,1000,108.6166667,0,3.69,1,0,0,1,0,0,0,0,0,0,0,0,0
Hoodoo Canyon,85,10,6.5,1430,351.9666667,0,2.4,0,0,0,0,1,0,1,0,0,0,0,0,0
Mount Si,86,1040,8,3150,40.26666667,0,3.99,0,0,0,0,0,0,1,0,0,1,0,0,1
Sauk Mountain,87,223,4.2,1200,140.85,0,4.05,1,0,0,0,0,1,0,0,0,0,0,0,0
Mount Muller,88,39,13,3200,191.0666667,0,3.46,0,0,0,0,0,1,0,0,0,0,0,0,0
Talapus and Olallie Lakes,89,693,6.2,1220,54.83333333,0,3.45,1,0,1,1,1,0,1,0,0,0,0,0,1
Che-che-op-tin Trail,90,1,1,10,189,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Antoine Peak - Canfield Gulch,91,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Ross,92,1,14.5,6048,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan Tidelands,93,1,,,109.65,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
